Pedal 1 Pressure,Pedal 2 Pressure,Pedal 3 Pressure,Pedal 4 Pressure,Pedal 6 Pressure,Pedal 7 Pressure,Pedal 1 Pressed,Pedal 2 Pressed,Pedal 3 Pressed,Pedal 4 Pressed,Pedal 5 Pressesd,Pedal 6 Pressed,Pedal 7 Pressed,Computer Time
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367205007500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367225975300
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367245983500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367266977500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367286975100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367311505700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367332506600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367352537400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367373512300
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367393544600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367414102000
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367434060400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367455059100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367475092200
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367500086800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367520639300
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367540640200
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367561978200
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367581677100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367602250700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367623283700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367643282500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367664283400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367688300300
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367709002800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367729972100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367749963400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367769962100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367790968200
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367811478100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367831477100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367856477500
