wrist_position,value_X_Axis,value_Y_Axis,value_Z_Axis,seq,seq_num,server_epoch_ms
left,0.8637634515762329,0.3286454975605011,-0.4715879559516907,seq,16700.0,1721412757004909400
left,1.1484266519546509,0.3579670190811157,-0.4007275998592376,seq,16701.0,1721412757013353400
left,1.330464482307434,0.4080579876899719,-0.4092797040939331,seq,16702.0,1721412757030372200
left,1.1826350688934326,0.3701843321323395,-0.371406078338623,seq,16703.0,1721412757046894500
left,0.9590584635734558,0.3555235862731933,-0.3445279896259308,seq,16704.0,1721412757060895100
left,0.7232644557952881,0.3127630054950714,-0.2981022298336029,seq,16705.0,1721412757082423100
left,0.4300491213798523,0.2895501255989074,-0.2467895597219467,seq,16706.0,1721412757110458300
left,0.2626720666885376,0.251676470041275,-0.2113593816757202,seq,16707.0,1721412757126462500
left,-0.1136209368705749,0.1783726513385772,-0.0610865242779254,seq,16708.0,1721412757140964600
left,-0.0647517144680023,0.2113593816757202,-0.0427605658769607,seq,16709.0,1721412757156011400
left,0.0293215326964855,0.230907067656517,-0.0378736443817615,seq,16710.0,1721412757179974200
left,0.1282816976308822,0.2602286040782928,-0.0134390350431203,seq,16711.0,1721412757210024000
left,0.117286130785942,0.2272418737411499,0.0048869219608604,seq,16712.0,1721412757224972600
left,0.1258382350206375,0.2125810980796814,0.0061086523346602,seq,16713.0,1721412757257673200
left,0.1185078546404838,0.1942551434040069,-0.0024434609804302,seq,16714.0,1721412757280778300
left,0.1258382350206375,0.1698205322027206,-0.0305432621389627,seq,16715.0,1721412757296680500
left,0.1380555480718612,0.171042263507843,-0.0342084541916847,seq,16716.0,1721412757313676800
left,0.0696386396884918,0.1343903541564941,-0.0256563406437635,seq,16717.0,1721412757329684500
left,0.0329867228865623,0.1209513172507286,-0.0122173046693205,seq,16718.0,1721412757342345100
left,0.0317649915814399,0.1429424732923507,-0.0329867228865623,seq,16719.0,1721412757357833200
left,-0.1319468915462494,0.0549778714776039,-0.0598647929728031,seq,16720.0,1721412757394937100
left,-0.1453859210014343,0.107512280344963,-0.0134390350431203,seq,16721.0,1721412757418885300
left,-0.3885102868080139,0.0806342139840126,0.0122173046693205,seq,16722.0,1721412757427095900
left,-0.4288274049758911,0.0525344125926494,-0.0012217304902151,seq,16723.0,1721412757436974500
left,-0.3885102868080139,0.0940732508897781,-0.0109955742955207,seq,16724.0,1721412757455411700
left,-0.4129449129104614,0.1099557429552078,0.0036651915870606,seq,16725.0,1721412757480375700
left,-0.4007275998592376,0.1356120854616165,0.0525344125926494,seq,16726.0,1721412757532024400
left,-0.3799581825733185,0.1466076523065567,0.090408056974411,seq,16727.0,1721412757562748200
left,-0.3457497358322143,0.1429424732923507,0.1136209368705749,seq,16728.0,1721412757591760600
left,-0.3139847218990326,0.1380555480718612,0.1087340116500854,seq,16729.0,1721412757621744900
left,-0.2138028293848037,0.1844813078641891,0.0720821022987365,seq,16730.0,1721412757630890900
left,-0.1062905490398407,0.221133217215538,0.0574213340878486,seq,16731.0,1721412757641881500
left,-0.0207694191485643,0.2394591718912124,0.0366519130766391,seq,16732.0,1721412757654566300
left,-0.0232128798961639,0.2602286040782928,0.0268780700862407,seq,16733.0,1721412757672501400
